X, Y, Z, Dose
0, 0, 0, 5.666707352247613e-07
0, 1, 0, 9.073735327547183e-07
0, 2, 0, 1.107535467781418e-06
0, 3, 0, 1.228899577654374e-06
0, 4, 0, 1.15339014428173e-06
0, 5, 0, 1.172982024399971e-06
0, 6, 0, 1.362126113235718e-06
0, 7, 0, 1.442058305656246e-06
0, 8, 0, 1.437234232071205e-06
0, 9, 0, 1.341646907349059e-06
0, 10, 0, 1.344270913250512e-06
0, 11, 0, 1.301152224186808e-06
0, 12, 0, 1.567597905705043e-06
0, 13, 0, 1.392573949487996e-06
0, 14, 0, 1.523825744698115e-06
0, 15, 0, 1.47089167512604e-06
0, 16, 0, 1.385833343192644e-06
0, 17, 0, 1.359420934932132e-06
0, 18, 0, 1.502091208749334e-06
0, 19, 0, 1.419885165887536e-06
0, 20, 0, 1.482172592659481e-06
0, 21, 0, 1.414144776390458e-06
0, 22, 0, 1.382682853545703e-06
0, 23, 0, 1.474900273024105e-06
0, 24, 0, 1.628030645406398e-06
0, 25, 0, 1.420885041625297e-06
0, 26, 0, 1.342828227279824e-06
0, 27, 0, 1.418478063897055e-06
0, 28, 0, 1.409236233484989e-06
0, 29, 0, 1.540094217489241e-06
0, 30, 0, 1.529584437776066e-06
0, 31, 0, 1.439584593754262e-06
0, 32, 0, 1.424497327207064e-06
0, 33, 0, 1.370474819850642e-06
0, 34, 0, 1.34886158775771e-06
0, 35, 0, 1.355781819256663e-06
0, 36, 0, 1.314916175942926e-06
0, 37, 0, 1.367056597700866e-06
0, 38, 0, 1.405525495101756e-06
0, 39, 0, 1.456878067074285e-06
0, 40, 0, 1.490731392550515e-06
0, 41, 0, 1.459832560612995e-06
0, 42, 0, 1.496628556196811e-06
0, 43, 0, 1.442089455849782e-06
0, 44, 0, 1.352694653178332e-06
0, 45, 0, 1.329044039266591e-06
0, 46, 0, 1.346174940408673e-06
0, 47, 0, 1.393608840771776e-06
0, 48, 0, 1.296262780670077e-06
0, 49, 0, 1.455914230064081e-06
0, 50, 0, 1.430288875781116e-06
0, 51, 0, 1.45985075050703e-06
0, 52, 0, 1.527133576928463e-06
0, 53, 0, 1.383596440973633e-06
0, 54, 0, 1.418675537934178e-06
0, 55, 0, 1.411140260643151e-06
0, 56, 0, 1.432059889339143e-06
0, 57, 0, 1.500923531239096e-06
0, 58, 0, 1.384013557981234e-06
0, 59, 0, 1.414515168107755e-06
0, 60, 0, 1.426756739419943e-06
0, 61, 0, 1.326956635239185e-06
0, 62, 0, 1.324789650425373e-06
0, 63, 0, 1.429117219231557e-06
0, 64, 0, 1.336451646238856e-06
0, 65, 0, 1.518635258435097e-06
0, 66, 0, 1.459300165151944e-06
0, 67, 0, 1.330898498963506e-06
0, 68, 0, 1.486741666667513e-06
0, 69, 0, 1.43188140100392e-06
0, 70, 0, 1.394274022459285e-06
0, 71, 0, 1.415949441252451e-06
0, 72, 0, 1.562970737722935e-06
0, 73, 0, 1.451862317480845e-06
0, 74, 0, 1.34863807943475e-06
0, 75, 0, 1.37475819883548e-06
0, 76, 0, 1.357813971480937e-06
0, 77, 0, 1.459617806176539e-06
0, 78, 0, 1.45631997838791e-06
0, 79, 0, 1.279124489883543e-06
0, 80, 0, 1.507011688772764e-06
0, 81, 0, 1.611786046851194e-06
0, 82, 0, 1.482388825024827e-06
0, 83, 0, 1.427702386536112e-06
0, 84, 0, 1.450315949114156e-06
0, 85, 0, 1.556088136567269e-06
0, 86, 0, 1.361308818559337e-06
0, 87, 0, 1.587890892551513e-06
0, 88, 0, 1.460228872929292e-06
0, 89, 0, 1.41694795274816e-06
0, 90, 0, 1.446857368136989e-06
0, 91, 0, 1.448913735657698e-06
0, 92, 0, 1.470813913329039e-06
0, 93, 0, 1.48663150412176e-06
0, 94, 0, 1.337209823759622e-06
0, 95, 0, 1.533852355350973e-06
0, 96, 0, 1.496007030254987e-06
0, 97, 0, 1.456522113585379e-06
0, 98, 0, 1.421162778569851e-06
0, 99, 0, 1.492588580731535e-06
0, 100, 0, 1.534323018859141e-06
0, 101, 0, 1.580507728249358e-06
0, 102, 0, 1.487827489654592e-06
0, 103, 0, 1.44059663398366e-06
0, 104, 0, 1.544668180031294e-06
0, 105, 0, 1.249698811989219e-06
0, 106, 0, 1.366868673358113e-06
0, 107, 0, 1.614759526091802e-06
0, 108, 0, 1.351491391687887e-06
0, 109, 0, 1.404849058417312e-06
0, 110, 0, 1.525062430118851e-06
0, 111, 0, 1.377584226247563e-06
0, 112, 0, 1.334391754426179e-06
0, 113, 0, 1.454019979973964e-06
0, 114, 0, 1.690405952103902e-06
0, 115, 0, 1.545846089356928e-06
0, 116, 0, 1.344013071502559e-06
0, 117, 0, 1.478800186305307e-06
0, 118, 0, 1.583385369485768e-06
0, 119, 0, 1.443938117517973e-06
0, 120, 0, 1.559928250571829e-06
0, 121, 0, 1.466771891500684e-06
0, 122, 0, 1.455936512684275e-06
0, 123, 0, 1.498078177064599e-06
0, 124, 0, 1.500789949204773e-06
0, 125, 0, 1.462628461013082e-06
0, 126, 0, 1.414371354258037e-06
0, 127, 0, 1.482945663155988e-06
0, 128, 0, 1.565678644510626e-06
0, 129, 0, 1.464545107410231e-06
0, 130, 0, 1.372518568132364e-06
0, 131, 0, 1.47845923947898e-06
0, 132, 0, 1.52989309754048e-06
0, 133, 0, 1.426890889888455e-06
0, 134, 0, 1.521225954093097e-06
0, 135, 0, 1.438268327547121e-06
0, 136, 0, 1.558839016979618e-06
0, 137, 0, 1.431654936823179e-06
0, 138, 0, 1.503957946624723e-06
0, 139, 0, 1.40422048389155e-06
0, 140, 0, 1.439953166482155e-06
0, 141, 0, 1.417899966327241e-06
0, 142, 0, 1.356044776912313e-06
0, 143, 0, 1.391499495184689e-06
0, 144, 0, 1.457115217817773e-06
0, 145, 0, 1.431428472642438e-06
0, 146, 0, 1.462190311940503e-06
0, 147, 0, 1.378854562972265e-06
0, 148, 0, 1.418522515450604e-06
0, 149, 0, 1.494763750997663e-06
0, 150, 0, 1.444649569748435e-06
0, 151, 0, 1.408703042216075e-06
0, 152, 0, 1.360407622996718e-06
0, 153, 0, 1.449673959541542e-06
0, 154, 0, 1.398343670189206e-06
0, 155, 0, 1.451089815418527e-06
0, 156, 0, 1.349255740024091e-06
0, 157, 0, 1.334382091044972e-06
0, 158, 0, 1.39910639518348e-06
0, 159, 0, 1.586927396601823e-06
0, 160, 0, 1.468089294576203e-06
0, 161, 0, 1.585074073773285e-06
0, 162, 0, 1.565296201988531e-06
0, 163, 0, 1.493259105700417e-06
0, 164, 0, 1.358558733954851e-06
0, 165, 0, 1.35235347897833e-06
0, 166, 0, 1.382294612994883e-06
0, 167, 0, 1.430807856195315e-06
0, 168, 0, 1.442761117687041e-06
0, 169, 0, 1.505749651187216e-06
0, 170, 0, 1.613317749615817e-06
0, 171, 0, 1.511264599685092e-06
0, 172, 0, 1.374435782963701e-06
0, 173, 0, 1.337053163297242e-06
0, 174, 0, 1.420925514139526e-06
0, 175, 0, 1.364926902169827e-06
0, 176, 0, 1.448784587410046e-06
0, 177, 0, 1.407603804182145e-06
0, 178, 0, 1.412420033375383e-06
0, 179, 0, 1.353110747004393e-06
0, 180, 0, 1.452612195862457e-06
0, 181, 0, 1.581147444085218e-06
0, 182, 0, 1.419645286659943e-06
0, 183, 0, 1.442712346033659e-06
0, 184, 0, 1.414173880220915e-06
0, 185, 0, 1.374669977849408e-06
0, 186, 0, 1.369994606648106e-06
0, 187, 0, 1.471971927458071e-06
0, 188, 0, 1.520983232694562e-06
0, 189, 0, 1.320944534199953e-06
0, 190, 0, 1.36203766487597e-06
0, 191, 0, 1.444575900677592e-06
0, 192, 0, 1.440333790014847e-06
0, 193, 0, 1.402775637870946e-06
0, 194, 0, 1.483941218793916e-06
0, 195, 0, 1.475662543271028e-06
0, 196, 0, 1.447007207389106e-06
0, 197, 0, 1.492863702878822e-06
0, 198, 0, 1.406658725500165e-06
0, 199, 0, 1.411362177350384e-06
0, 200, 0, 1.404281078976055e-06
0, 201, 0, 1.251781668543117e-06
0, 202, 0, 1.331341991317458e-06
0, 203, 0, 1.193632328977401e-06
0, 204, 0, 1.038754135151976e-06
